Begin Rejuvenation count: 1
Original number of rows in prices dataframe: 233
    AvailabilityZone      InstanceType  MaximumNetworkInterfaces  SpotPrice  PricePerInterface                 Timestamp
53        us-east-1f       c6gn.xlarge                         4     0.0748           0.022450 2024-07-03 18:47:05+00:00
54        us-east-1a        m6i.xlarge                         4     0.0750           0.022500 2024-07-03 18:31:50+00:00
55        us-east-1c          r5.large                         3     0.0756           0.028533 2024-07-03 18:47:12+00:00
56        us-east-1a         z1d.large                         3     0.0757           0.028567 2024-07-03 19:01:56+00:00
57        us-east-1b         t2.xlarge                         3     0.0768           0.028933 2024-07-03 17:46:55+00:00
58        us-east-1a         m5.xlarge                         4     0.0772           0.023050 2024-07-03 19:17:02+00:00
59        us-east-1b        c7i.xlarge                         4     0.0773           0.023075 2024-07-03 17:48:08+00:00
60        us-east-1d       r6idn.large                         3     0.0780           0.029333 2024-07-03 18:03:04+00:00
61        us-east-1a        c7i.xlarge                         4     0.0783           0.023325 2024-07-03 17:48:08+00:00
62        us-east-1b         m5.xlarge                         4     0.0790           0.023500 2024-07-03 18:17:02+00:00
63        us-east-1f       m6gd.xlarge                         4     0.0810           0.024000 2024-07-03 18:47:05+00:00
64        us-east-1c        x2gd.large                         3     0.0812           0.030400 2024-07-03 19:03:00+00:00
65        us-east-1e         c4.xlarge                         4     0.0814           0.024100 2024-07-03 18:01:56+00:00
66        us-east-1c         m4.xlarge                         4     0.0831           0.024525 2024-07-03 18:17:13+00:00
67        us-east-1a         m4.xlarge                         4     0.0843           0.024825 2024-07-03 19:02:12+00:00
68        us-east-1d   m7i-flex.xlarge                         4     0.0852           0.025050 2024-07-03 19:17:01+00:00
69        us-east-1b   m7i-flex.xlarge                         4     0.0857           0.025175 2024-07-03 18:32:01+00:00
70        us-east-1c        c5a.xlarge                         4     0.0870           0.025500 2024-07-03 18:17:02+00:00
71        us-east-1d        i3en.large                         3     0.0871           0.032367 2024-07-03 17:47:11+00:00
72        us-east-1d         c4.xlarge                         4     0.0883           0.025825 2024-07-03 18:01:56+00:00
73        us-east-1c         c4.xlarge                         4     0.0888           0.025950 2024-07-03 18:16:55+00:00
74        us-east-1c        r6g.xlarge                         4     0.0895           0.026125 2024-07-03 18:16:47+00:00
75        us-east-1c       inf1.xlarge                         4     0.0901           0.026275 2024-07-03 19:17:43+00:00
76        us-east-1c        m7i.xlarge                         4     0.0903           0.026325 2024-07-03 18:17:25+00:00
77        us-east-1a        r7g.xlarge                         4     0.0909           0.026475 2024-07-03 19:17:04+00:00
78        us-east-1b        m7i.xlarge                         4     0.0915           0.026625 2024-07-03 18:17:25+00:00
79        us-east-1c        m6i.xlarge                         4     0.0920           0.026750 2024-07-03 18:31:50+00:00
80        us-east-1e         c3.xlarge                         4     0.0921           0.026775 2024-07-03 19:17:35+00:00
81        us-east-1c        r7g.xlarge                         4     0.0923           0.026825 2024-07-03 19:17:04+00:00
82        us-east-1d       inf1.xlarge                         4     0.0932           0.027050 2024-07-03 19:17:43+00:00
83        us-east-1d         c3.xlarge                         4     0.0936           0.027150 2024-07-03 19:17:35+00:00
84        us-east-1b         m2.xlarge                         4     0.0942           0.027300 2024-07-03 18:17:30+00:00
85        us-east-1c        i3en.large                         3     0.0943           0.034767 2024-07-03 17:47:11+00:00
86        us-east-1d       m6gd.xlarge                         4     0.0973           0.028075 2024-07-03 19:17:01+00:00
87        us-east-1f        r5a.xlarge                         4     0.0974           0.028100 2024-07-03 19:16:48+00:00
88        us-east-1b         c3.xlarge                         4     0.0978           0.028200 2024-07-03 18:17:57+00:00
89        us-east-1c        c5d.xlarge                         4     0.0980           0.028250 2024-07-03 19:16:52+00:00
90        us-east-1a        c5n.xlarge                         4     0.0983           0.028325 2024-07-03 18:17:16+00:00
91        us-east-1c   m7i-flex.xlarge                         4     0.0986           0.028400 2024-07-03 17:47:01+00:00
92        us-east-1d        m5n.xlarge                         4     0.0989           0.028475 2024-07-03 19:16:43+00:00
93        us-east-1d       c7gn.xlarge                         4     0.1006           0.028900 2024-07-03 18:32:00+00:00
94        us-east-1b        r6a.xlarge                         4     0.1019           0.029225 2024-07-03 19:02:15+00:00
95        us-east-1a       c6id.xlarge                         4     0.1022           0.029300 2024-07-03 19:16:47+00:00
96        us-east-1a         m2.xlarge                         4     0.1027           0.029425 2024-07-03 19:02:31+00:00
97        us-east-1b         r5.xlarge                         4     0.1058           0.030200 2024-07-03 18:17:03+00:00
98        us-east-1d        m7a.xlarge                         4     0.1059           0.030225 2024-07-03 19:17:10+00:00
99        us-east-1b       m6gd.xlarge                         4     0.1075           0.030625 2024-07-03 18:32:08+00:00
100       us-east-1c       m7gd.xlarge                         4     0.1083           0.030825 2024-07-03 19:02:38+00:00
101       us-east-1d        a1.2xlarge                         4     0.1090           0.031000 2024-07-03 18:02:54+00:00
102       us-east-1c         r5.xlarge                         4     0.1094           0.031100 2024-07-03 18:02:03+00:00
103       us-east-1d        c7a.xlarge                         4     0.1106           0.031400 2024-07-03 18:02:42+00:00
104       us-east-1f       c6in.xlarge                         4     0.1107           0.031425 2024-07-03 18:17:48+00:00
105       us-east-1d       r6gd.xlarge                         4     0.1109           0.031475 2024-07-03 18:47:12+00:00
106       us-east-1a        m7a.xlarge                         4     0.1109           0.031475 2024-07-03 19:01:55+00:00
107       us-east-1a      is4gen.large                         3     0.1117           0.040567 2024-07-03 19:17:04+00:00
108       us-east-1a       m5dn.xlarge                         4     0.1137           0.032175 2024-07-03 18:32:18+00:00
109       us-east-1a        r7i.xlarge                         4     0.1144           0.032350 2024-07-03 18:02:18+00:00
110       us-east-1c        m5n.xlarge                         4     0.1144           0.032350 2024-07-03 17:47:22+00:00
111       us-east-1a         m3.xlarge                         4     0.1145           0.032375 2024-07-03 17:47:05+00:00
112       us-east-1f        r7g.xlarge                         4     0.1157           0.032675 2024-07-03 17:46:54+00:00
113       us-east-1b        a1.2xlarge                         4     0.1179           0.033225 2024-07-03 18:02:54+00:00
114       us-east-1d        r7i.xlarge                         4     0.1183           0.033325 2024-07-03 18:47:38+00:00
115       us-east-1f       r7gd.xlarge                         4     0.1184           0.033350 2024-07-03 18:17:21+00:00
116       us-east-1f         r4.xlarge                         4     0.1195           0.033625 2024-07-03 18:46:55+00:00
117       us-east-1d      is4gen.large                         3     0.1210           0.043667 2024-07-03 18:03:03+00:00
118       us-east-1b       c6in.xlarge                         4     0.1217           0.034175 2024-07-03 19:16:49+00:00
119       us-east-1d       m6g.2xlarge                         4     0.1225           0.034375 2024-07-03 18:02:02+00:00
120       us-east-1a       m5ad.xlarge                         4     0.1235           0.034625 2024-07-03 18:17:07+00:00
121       us-east-1c        m5d.xlarge                         4     0.1237           0.034675 2024-07-03 18:17:02+00:00
122       us-east-1f       c6g.2xlarge                         4     0.1240           0.034750 2024-07-03 18:01:56+00:00
123       us-east-1c       r5ad.xlarge                         4     0.1243           0.034825 2024-07-03 17:47:11+00:00
124       us-east-1c       c6g.2xlarge                         4     0.1244           0.034850 2024-07-03 19:16:55+00:00
125       us-east-1e         m3.xlarge                         4     0.1246           0.034900 2024-07-03 19:17:09+00:00
126       us-east-1a      c6gd.2xlarge                         4     0.1250           0.035000 2024-07-03 19:02:03+00:00
127       us-east-1c      is4gen.large                         3     0.1252           0.045067 2024-07-03 19:17:04+00:00
128       us-east-1b       m5dn.xlarge                         4     0.1255           0.035125 2024-07-03 17:47:22+00:00
129       us-east-1d       x2gd.xlarge                         4     0.1283           0.035825 2024-07-03 17:32:44+00:00
130       us-east-1a       c6g.2xlarge                         4     0.1285           0.035875 2024-07-03 18:31:59+00:00
131       us-east-1d      c6gd.2xlarge                         4     0.1287           0.035925 2024-07-03 18:02:09+00:00
132       us-east-1c       t3a.2xlarge                         4     0.1303           0.036325 2024-07-03 19:16:55+00:00
133       us-east-1a       c7g.2xlarge                         4     0.1310           0.036500 2024-07-03 18:02:22+00:00
134       us-east-1b       m6g.2xlarge                         4     0.1319           0.036725 2024-07-03 19:02:13+00:00
135       us-east-1b        r7i.xlarge                         4     0.1338           0.037200 2024-07-03 19:17:12+00:00
136       us-east-1f       r5ad.xlarge                         4     0.1343           0.037325 2024-07-03 19:02:01+00:00
137       us-east-1f       c6a.2xlarge                         4     0.1344           0.037350 2024-07-03 18:32:12+00:00
138       us-east-1b        i4g.xlarge                         4     0.1366           0.037900 2024-07-03 19:02:11+00:00
139       us-east-1b       r6id.xlarge                         4     0.1374           0.038100 2024-07-03 18:02:02+00:00
140       us-east-1f       c6i.2xlarge                         4     0.1375           0.038125 2024-07-03 18:17:20+00:00
141       us-east-1d        r7a.xlarge                         4     0.1406           0.038900 2024-07-03 18:02:27+00:00
142       us-east-1a        t2.2xlarge                         3     0.1412           0.050400 2024-07-03 18:32:21+00:00
143       us-east-1d       c7i.2xlarge                         4     0.1418           0.039200 2024-07-03 19:17:50+00:00
144       us-east-1f       r7iz.xlarge                         4     0.1420           0.039250 2024-07-03 18:17:19+00:00
145       us-east-1a        r5n.xlarge                         4     0.1420           0.039250 2024-07-03 19:16:47+00:00
146       us-east-1d       r6in.xlarge                         4     0.1425           0.039375 2024-07-03 17:47:15+00:00
147       us-east-1a       c6i.2xlarge                         4     0.1430           0.039500 2024-07-03 18:47:18+00:00
148       us-east-1d       t4g.2xlarge                         4     0.1460           0.040250 2024-07-03 18:17:51+00:00
149       us-east-1d        t2.2xlarge                         3     0.1481           0.052700 2024-07-03 18:32:21+00:00
150       us-east-1c       g4ad.xlarge                         2     0.1483           0.076650 2024-07-03 18:47:44+00:00
151       us-east-1a       r7gd.xlarge                         4     0.1485           0.040875 2024-07-03 19:17:13+00:00
152       us-east-1f       c7i.2xlarge                         4     0.1497           0.041175 2024-07-03 19:17:50+00:00
153       us-east-1c       r6id.xlarge                         4     0.1508           0.041450 2024-07-03 18:17:03+00:00
154       us-east-1f        z1d.xlarge                         4     0.1517           0.041675 2024-07-03 17:46:58+00:00
155       us-east-1c         m1.xlarge                         4     0.1525           0.041875 2024-07-03 19:17:06+00:00
156       us-east-1a       r7iz.xlarge                         4     0.1542           0.042300 2024-07-03 19:02:32+00:00
157       us-east-1a      inf1.2xlarge                         4     0.1556           0.042650 2024-07-03 19:02:40+00:00
158       us-east-1d       m6a.2xlarge                         4     0.1563           0.042825 2024-07-03 18:47:19+00:00
159       us-east-1d         i3.xlarge                         4     0.1567           0.042925 2024-07-03 17:47:02+00:00
160       us-east-1c       m5ad.xlarge                         4     0.1569           0.042975 2024-07-03 19:02:30+00:00
161       us-east-1c       c6i.2xlarge                         4     0.1579           0.043225 2024-07-03 18:32:31+00:00
162       us-east-1f       m6i.2xlarge                         4     0.1587           0.043425 2024-07-03 18:17:22+00:00
163       us-east-1d       g4ad.xlarge                         2     0.1589           0.081950 2024-07-03 18:17:50+00:00
164       us-east-1f       m6a.2xlarge                         4     0.1616           0.044150 2024-07-03 17:47:19+00:00
165       us-east-1f       r6in.xlarge                         4     0.1622           0.044300 2024-07-03 18:47:29+00:00
166       us-east-1c         i3.xlarge                         4     0.1622           0.044300 2024-07-03 19:17:02+00:00
167       us-east-1c        c5.2xlarge                         4     0.1626           0.044400 2024-07-03 17:46:55+00:00
168       us-east-1a       m5a.2xlarge                         4     0.1628           0.044450 2024-07-03 18:32:13+00:00
169       us-east-1b        z1d.xlarge                         4     0.1653           0.045075 2024-07-03 19:02:34+00:00
170       us-east-1c        r7a.xlarge                         4     0.1672           0.045550 2024-07-03 19:17:44+00:00
171       us-east-1a      c7gd.2xlarge                         4     0.1678           0.045700 2024-07-03 17:47:45+00:00
172       us-east-1d       r7iz.xlarge                         4     0.1683           0.045825 2024-07-03 18:32:01+00:00
173       us-east-1f        c4.2xlarge                         4     0.1696           0.046150 2024-07-03 18:17:12+00:00
174       us-east-1d       m6i.2xlarge                         4     0.1697           0.046175 2024-07-03 19:16:52+00:00
175       us-east-1b        r5d.xlarge                         4     0.1703           0.046325 2024-07-03 18:02:00+00:00
176       us-east-1b         i3.xlarge                         4     0.1703           0.046325 2024-07-03 18:02:02+00:00
177       us-east-1f  m7i-flex.2xlarge                         4     0.1704           0.046350 2024-07-03 18:17:00+00:00
178       us-east-1b        r5b.xlarge                         4     0.1714           0.046600 2024-07-03 19:17:28+00:00
179       us-east-1e        m4.2xlarge                         4     0.1720           0.046750 2024-07-03 19:16:43+00:00
180       us-east-1c       m6i.2xlarge                         4     0.1734           0.047100 2024-07-03 19:01:49+00:00
181       us-east-1d      r6idn.xlarge                         4     0.1752           0.047550 2024-07-03 18:33:05+00:00
182       us-east-1b       m6a.2xlarge                         4     0.1758           0.047700 2024-07-03 18:46:55+00:00
183       us-east-1f      c6id.2xlarge                         4     0.1763           0.047825 2024-07-03 18:32:13+00:00
184       us-east-1d        c4.2xlarge                         4     0.1771           0.048025 2024-07-03 19:16:43+00:00
185       us-east-1b        a1.4xlarge                         8     0.1779           0.026613 2024-07-03 19:02:21+00:00
186       us-east-1d        g5g.xlarge                         4     0.1781           0.048275 2024-07-03 17:47:44+00:00
187       us-east-1d      c7gd.2xlarge                         4     0.1790           0.048500 2024-07-03 19:17:26+00:00
188       us-east-1a        m5.2xlarge                         4     0.1793           0.048575 2024-07-03 18:17:00+00:00
189       us-east-1f      m7gd.2xlarge                         4     0.1800           0.048750 2024-07-03 18:47:26+00:00
190       us-east-1a       r6g.2xlarge                         4     0.1835           0.049625 2024-07-03 18:02:30+00:00
191       us-east-1d        m4.2xlarge                         4     0.1837           0.049675 2024-07-03 18:02:12+00:00
192       us-east-1f       m7i.2xlarge                         4     0.1864           0.050350 2024-07-03 19:02:28+00:00
193       us-east-1d       r7g.2xlarge                         4     0.1876           0.050650 2024-07-03 18:17:33+00:00
194       us-east-1c        i4i.xlarge                         4     0.1878           0.050700 2024-07-03 18:47:29+00:00
195       us-east-1b      c6id.2xlarge                         4     0.1890           0.051000 2024-07-03 18:47:44+00:00
196       us-east-1a        m2.2xlarge                         4     0.1958           0.052700 2024-07-03 18:17:44+00:00
197       us-east-1c      c6id.2xlarge                         4     0.1983           0.053325 2024-07-03 19:02:17+00:00
198       us-east-1d      c5ad.2xlarge                         4     0.2001           0.053775 2024-07-03 17:47:00+00:00
199       us-east-1b      m7gd.2xlarge                         4     0.2046           0.054900 2024-07-03 17:32:42+00:00
200       us-east-1a       g4dn.xlarge                         3     0.2053           0.071767 2024-07-03 18:17:02+00:00
201       us-east-1f       r7g.2xlarge                         4     0.2055           0.055125 2024-07-03 18:32:34+00:00
202       us-east-1b      m6gd.2xlarge                         4     0.2066           0.055400 2024-07-03 18:16:49+00:00
203       us-east-1c      c5ad.2xlarge                         4     0.2076           0.055650 2024-07-03 19:02:03+00:00
204       us-east-1d  m7i-flex.2xlarge                         4     0.2094           0.056100 2024-07-03 18:32:07+00:00
205       us-east-1a      r6gd.2xlarge                         4     0.2115           0.056625 2024-07-03 19:01:50+00:00
206       us-east-1b       g4dn.xlarge                         3     0.2134           0.074467 2024-07-03 19:02:01+00:00
207       us-east-1c  m7i-flex.2xlarge                         4     0.2152           0.057550 2024-07-03 18:17:00+00:00
208       us-east-1a       c5d.2xlarge                         4     0.2201           0.058775 2024-07-03 18:16:55+00:00
209       us-east-1c     is4gen.xlarge                         4     0.2215           0.059125 2024-07-03 17:47:32+00:00
210       us-east-1c        m4.2xlarge                         4     0.2239           0.059725 2024-07-03 18:17:12+00:00
211       us-east-1c       d3en.xlarge                         4     0.2325           0.061875 2024-07-03 18:32:39+00:00
212       us-east-1a       m7a.2xlarge                         4     0.2353           0.062575 2024-07-03 18:32:13+00:00
213       us-east-1b       c5n.2xlarge                         4     0.2386           0.063400 2024-07-03 18:32:20+00:00
214       us-east-1b       c7g.4xlarge                         8     0.2438           0.034850 2024-07-03 18:02:14+00:00
215       us-east-1d      r6gd.2xlarge                         4     0.2497           0.066175 2024-07-03 18:32:25+00:00
216       us-east-1b       i4g.2xlarge                         4     0.2517           0.066675 2024-07-03 18:46:48+00:00
217       us-east-1d       m5n.2xlarge                         4     0.2632           0.069550 2024-07-03 18:17:25+00:00
218       us-east-1f      m6id.2xlarge                         4     0.2676           0.070650 2024-07-03 18:47:37+00:00
219       us-east-1b       g5g.2xlarge                         4     0.2713           0.071575 2024-07-03 18:32:03+00:00
220       us-east-1b       r7i.2xlarge                         4     0.2757           0.072675 2024-07-03 18:47:25+00:00
221       us-east-1b        r3.2xlarge                         4     0.2783           0.073325 2024-07-03 18:02:54+00:00
222       us-east-1c       g5g.2xlarge                         4     0.2809           0.073975 2024-07-03 18:17:22+00:00
223       us-east-1e        m3.2xlarge                         4     0.2819           0.074225 2024-07-03 18:03:00+00:00
224       us-east-1a      r5ad.2xlarge                         4     0.2868           0.075450 2024-07-03 18:47:46+00:00
225       us-east-1c      m5dn.2xlarge                         4     0.2927           0.076925 2024-07-03 18:02:26+00:00
226       us-east-1d       c6i.4xlarge                         8     0.2929           0.040987 2024-07-03 18:17:12+00:00
227       us-east-1f       m6g.4xlarge                         8     0.2933           0.041038 2024-07-03 18:31:59+00:00
228       us-east-1a      c7gd.4xlarge                         8     0.2936           0.041075 2024-07-03 18:03:02+00:00
229       us-east-1f       r5a.2xlarge                         4     0.2949           0.077475 2024-07-03 18:32:06+00:00
230       us-east-1f       c6i.4xlarge                         8     0.2970           0.041500 2024-07-03 18:17:12+00:00
231       us-east-1c      g4dn.2xlarge                         3     0.2973           0.102433 2024-07-03 17:47:13+00:00
232       us-east-1f       c5a.4xlarge                         8     0.2984           0.041675 2024-07-03 17:46:51+00:00
Created 1 instances of type m7a.large, and hourly cost 0.05. Remaining instances to create: 0
Create fleet success with details: [
    {
        "InstanceCost": 0.05,
        "InstanceID": "i-060cba103bd4c063d",
        "InstanceType": "m7a.large",
        "NICs": [
            [
                "eni-03ccfd1590250915b",
                "44.203.51.142"
            ]
        ],
        "ce_session_region": "us-east-1",
        "ec2_session_region": "us-east-1",
        "optimal_cheapest_instance": {
            "OptimalInstanceCost": 0.05,
            "OptimalInstanceCount": 1,
            "OptimalInstanceMaxNICs": 3,
            "OptimalInstanceType": "m7a.large",
            "OptimalInstanceZone": "us-east-1c"
        }
    }
]
Time taken to create fleet: 33.53173756599426
Sleeping for 30 seconds until next rejuvenation period..
