Begin Rejuvenation count: 1
Original number of rows in prices dataframe: 233
    AvailabilityZone      InstanceType  MaximumNetworkInterfaces  SpotPrice  PricePerInterface                 Timestamp
234       us-east-1a         m4.xlarge                         4     0.0843           0.024825 2024-07-03 19:02:12+00:00
106       us-east-1d   m7i-flex.xlarge                         4     0.0852           0.025050 2024-07-03 19:17:01+00:00
512       us-east-1b   m7i-flex.xlarge                         4     0.0857           0.025175 2024-07-03 18:32:01+00:00
663       us-east-1c        c5a.xlarge                         4     0.0870           0.025500 2024-07-03 18:17:02+00:00
915       us-east-1d        i3en.large                         3     0.0871           0.032367 2024-07-03 17:47:11+00:00
814       us-east-1d         c4.xlarge                         4     0.0883           0.025825 2024-07-03 18:01:56+00:00
678       us-east-1c         c4.xlarge                         4     0.0888           0.025950 2024-07-03 18:16:55+00:00
691       us-east-1c        r6g.xlarge                         4     0.0895           0.026125 2024-07-03 18:16:47+00:00
23        us-east-1c       inf1.xlarge                         4     0.0901           0.026275 2024-07-03 19:17:43+00:00
595       us-east-1c        m7i.xlarge                         4     0.0903           0.026325 2024-07-03 18:17:25+00:00
88        us-east-1a        r7g.xlarge                         4     0.0909           0.026475 2024-07-03 19:17:04+00:00
594       us-east-1b        m7i.xlarge                         4     0.0915           0.026625 2024-07-03 18:17:25+00:00
527       us-east-1c        m6i.xlarge                         4     0.0920           0.026750 2024-07-03 18:31:50+00:00
30        us-east-1e         c3.xlarge                         4     0.0921           0.026775 2024-07-03 19:17:35+00:00
89        us-east-1c        r7g.xlarge                         4     0.0923           0.026825 2024-07-03 19:17:04+00:00
22        us-east-1d       inf1.xlarge                         4     0.0932           0.027050 2024-07-03 19:17:43+00:00
31        us-east-1d         c3.xlarge                         4     0.0936           0.027150 2024-07-03 19:17:35+00:00
582       us-east-1b         m2.xlarge                         4     0.0942           0.027300 2024-07-03 18:17:30+00:00
916       us-east-1c        i3en.large                         3     0.0943           0.034767 2024-07-03 17:47:11+00:00
109       us-east-1d       m6gd.xlarge                         4     0.0973           0.028075 2024-07-03 19:17:01+00:00
141       us-east-1f        r5a.xlarge                         4     0.0974           0.028100 2024-07-03 19:16:48+00:00
541       us-east-1b         c3.xlarge                         4     0.0978           0.028200 2024-07-03 18:17:57+00:00
